date,currency_pair,exchange_rate
2021-01-01,USD_TWD,30.7991
2021-01-04,USD_TWD,30.7518
2021-01-05,USD_TWD,30.8005
2021-01-06,USD_TWD,30.8436
2021-01-07,USD_TWD,30.8472
2021-01-08,USD_TWD,30.9098
2021-01-11,USD_TWD,30.9358
2021-01-12,USD_TWD,30.888
2021-01-13,USD_TWD,30.9085
2021-01-14,USD_TWD,30.8551
2021-01-15,USD_TWD,30.9039
2021-01-18,USD_TWD,30.9012
2021-01-19,USD_TWD,30.8909
2021-01-20,USD_TWD,30.853
2021-01-21,USD_TWD,30.9209
2021-01-22,USD_TWD,30.9123
2021-01-25,USD_TWD,30.8885
2021-01-26,USD_TWD,30.8689
2021-01-27,USD_TWD,30.8985
2021-01-28,USD_TWD,30.9188
2021-01-29,USD_TWD,30.9418
2021-02-01,USD_TWD,30.9658
2021-02-02,USD_TWD,31.0851
2021-02-03,USD_TWD,31.0624
2021-02-04,USD_TWD,31.0338
2021-02-05,USD_TWD,30.9883
2021-02-08,USD_TWD,31.0227
2021-02-09,USD_TWD,31.0857
2021-02-10,USD_TWD,31.0793
2021-02-11,USD_TWD,31.0323
2021-02-12,USD_TWD,30.9863
2021-02-15,USD_TWD,31.0226
2021-02-16,USD_TWD,31.0641
2021-02-17,USD_TWD,31.0944
2021-02-18,USD_TWD,31.0572
2021-02-19,USD_TWD,31.0702
2021-02-22,USD_TWD,31.0767
2021-02-23,USD_TWD,31.0889
2021-02-24,USD_TWD,31.1377
2021-02-25,USD_TWD,31.1502
2021-02-26,USD_TWD,31.1883
2021-03-01,USD_TWD,31.1921
2021-03-02,USD_TWD,31.2083
2021-03-03,USD_TWD,31.2438
2021-03-04,USD_TWD,31.1618
2021-03-05,USD_TWD,31.1439
2021-03-08,USD_TWD,31.1175
2021-03-09,USD_TWD,31.0817
2021-03-10,USD_TWD,31.0663
2021-03-11,USD_TWD,31.1499
2021-03-12,USD_TWD,31.1014
2021-03-15,USD_TWD,31.1556
2021-03-16,USD_TWD,31.0612
2021-03-17,USD_TWD,31.0425
2021-03-18,USD_TWD,31.0516
2021-03-19,USD_TWD,31.0844
2021-03-22,USD_TWD,31.1242
2021-03-23,USD_TWD,31.1686
2021-03-24,USD_TWD,31.149
2021-03-25,USD_TWD,31.1231
2021-03-26,USD_TWD,31.1712
2021-03-29,USD_TWD,31.1604
2021-03-30,USD_TWD,31.0889
2021-03-31,USD_TWD,31.0255
2021-04-01,USD_TWD,30.9741
2021-04-02,USD_TWD,31.0018
2021-04-05,USD_TWD,31.0098
2021-04-06,USD_TWD,31.0483
2021-04-07,USD_TWD,31.0245
2021-04-08,USD_TWD,31.0333
2021-04-09,USD_TWD,31.0683
2021-04-12,USD_TWD,31.051
2021-04-13,USD_TWD,31.0765
